Content,Label
"""Hàng giao lại rất đẹp. Cho 5* về chất lượng  hình ảnh bên ngoài. Nói chung sờ vào thấy rất hài lòng so với giá tiền.  Shop phục vụ rất tốt. """,0
""" Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Giao hàng tạm ổn hông nhanh lắm""",0
"""Thiếu 2 con ốc nhưng xe đepj như hình 👍🏻 Chất lượng sản phẩm tuyệt vời""",0
""" Đóng gói sản phẩm kém. Chỉ bọc bìa bao bóng bên ngoài ko có hộp bìa cứng bọc nên vận chuyển méo hết gần như tất cả các hộp đựng.""",1
"""Sổ đẹp quấ""",0
""" Thời gian giao hàng rất nhanh  Chất lượng sản phẩm tuyệt vời Đẹp """,0
"""""Minh dang sai m8 thay rat dc.""""",0
""" Chất lượng sản phẩm tuyệt vời. Giá quá rẻ lại ngon. Mua không suy nghĩ""",0
""" Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền với giá tiền này thì tuyệt ahihi đừng nghe mấy bạn đánh giá sao thấpmà k mua. Ủng hộ shop dài dài""",0
"""Cảm thấy hài lòng với sản phẩm  sẽ ủng hộ shop tiếp tục. """,0
"""Mấy cái quần đùi in giặt bị ra màu tèm lem hết rùi shop ơi. Huhu""",1
"""Mua cả sách VN và nước ngoài mà sách nước ngoài thiếu 3 quyển lại bù vào sách VN mà k giải thích gì""",1
"""Mình lấy tên chữ cho bé nhưng mới treo đã bị hỏng 1 chữ. """,1
"""Nhựa tái chế""",1
""" Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt ổn""",0
""" Đóng gói sản phẩm rất đẹp và chắc chắn sản phẩm rất đẹp khá hài lòng""",0
"""Đặt 3 cái sim mà giao chỉ có 2 cái thiếu hàng mà k nói mặc dù đã giao lại tiền sim nhưng thái độ làm việc như vậy vô cùng không tốt""",1
"""Đóng gói cẩn thận đẹp. Giao hàng nhanh""",0
"""không đủ 1 kg""",1
"""Giao ko dung hàng bao bi cũ nát. Thay doi sp ko báo trước cho khách biet""",1
"""Sản phẩm đẹp. Đóng gói chắc chắn. Nhưng k có pin dự phòng.""",0
""" Chất lượng sản phẩm tuyệt vời. Hộp có vẻ hơi cũ chút ạ đồng xu mở pin bị rỉ hết r. Tư vấn nhiệt tình. """,0
"""Hàng wa đẹp so với giá tiền. Mua của shop lần nào cũng ưng hết ^^""",0
"""nón rất đẹp mình rất hài lòng về sản phẩm.""",0
"""Chưa gì đã bể. Giao sp kém""",1
"""Chất lượng sản phẩm tuyệt vời ăn nghiện luôn. Quá ngon quá chuẩn bánh tránh. Sẽ ủng hộ dài dài""",0
"""Quạt mới mua nhưng không quạt được """,1
"""Quần áo ra màu. Giặt ra tèm lem.  Vải mỏng dính """,1
"""Cảm quan của mik là giày đẹp trắng và rất đáng tiền  Giày hơi khó xỏ một tý nhưng đi thì đẹp lắp rẻ  Nhà nghèo nên chỉ đi fake thui có j e mua shop tiếp  Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh""",0
"""Cảm ơn shop sản phẩm dùng rất tốt Chất lượng sản phẩm tuyệt vời""",0
"""Hàng ok mình rất thích 👍👍👍""",0
"""Sạc hơi yếu vì chỉ có đầu sạc input 5v-1A .  nếu ai dùng máy pin từ 3000mah sẽ sạc hơi lâu """,0
"""Giao hàng nhanh đóng gói chắc chắn cẩn thận  sẽ tiếp tục mua hàng tại shop.""",0
"""sp y hình giao hàng nhanh còn được tặng quà nữa ạ^^""",0
"""Toàn ruột đen. Giới thiệu sản phẩm không rõ ràng """,0
"""""samsung thật tuyệt vời mình là fan samsung yêu samsung nhất. samsung not 7 thật ko thể chê dc ko có đối thủ""""",0
"""miếng hơi mềm""",0
"""Kg sử dụng được cho bếp từ như đã quảng cáo. Đề nghị trả hàng.""",1
"""Tiền nào của náy  không phải read mấy bạn nha. """,0
